,Code,accountsPayable,cash,commonStock,deferredLongTermAssetCharges,goodWill,intangibleAssets,longTermDebt,longTermInvestments,minorityInterest,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,inventory,capitalSurplus,deferredLongTermLiab
0,IVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30 00:00:00,NEC,250688000.0,171927000.0,2134803000.0,,888949000.0,1518431000.0,342255000.0,37871000.0,145050000.0,380997000.0,-592829000.0,42156000.0,251910000.0,341748000.0,387275000.0,-55327000.0,573936000.0,-264925000.0,79595000.0,,3911184000.0,849841000.0,837370000.0,1951583000.0,1814551000.0,-55327000.0,12263000.0,,
2021-07-31 00:00:00,PMV,76231000.0,523356000.0,608615000.0,55494000.0,477085000.0,349919000.0,77834000.0,334834000.0,,9490000.0,705901000.0,55494000.0,,181079000.0,79966000.0,-10001000.0,304885000.0,934291000.0,69000000.0,17399000.0,2281222000.0,759005000.0,512082000.0,748317000.0,1532905000.0,-10001000.0,208760000.0,,
0,STW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30 00:00:00,SDF,109700000.0,231200000.0,1178300000.0,23500000.0,1082200000.0,202000000.0,716800000.0,141200000.0,108200000.0,664900000.0,-125400000.0,55200000.0,514800000.0,228700000.0,98500000.0,-39000000.0,91000000.0,33400000.0,34100000.0,,2982500000.0,1410900000.0,874800000.0,1715500000.0,1158800000.0,-52900000.0,,,
2021-06-30 00:00:00,ALU,6224000.0,191541000.0,127699000.0,49457000.0,29507000.0,17672000.0,,3000000.0,,67360000.0,208721000.0,51003000.0,5034000.0,87747000.0,12411000.0,22142000.0,16185000.0,106059000.0,,,383152000.0,265785000.0,109348000.0,127252000.0,255900000.0,22142000.0,1850000.0,,
2021-06-30 00:00:00,FLT,384716000.0,1172115000.0,1099056000.0,331091000.0,549079000.0,138433000.0,702923000.0,51235000.0,,419553000.0,268524000.0,369113000.0,133368000.0,477995000.0,77317000.0,35614000.0,333669000.0,-178634000.0,212126000.0,54906000.0,3264876000.0,1823347000.0,1260930000.0,2308840000.0,956036000.0,35614000.0,11837000.0,,
2021-06-30 00:00:00,DOW,2363000000.0,811400000.0,2631500000.0,65300000.0,2280800000.0,502100000.0,1203300000.0,162800000.0,4500000.0,2169700000.0,-8600000.0,182000000.0,85400000.0,130900000.0,97300000.0,-38700000.0,1541200000.0,181500000.0,303800000.0,18800000.0,8072100000.0,3403200000.0,3309000000.0,5114700000.0,2774300000.0,-38700000.0,254200000.0,,
2021-06-30 00:00:00,CGF,-1000000.0,989400000.0,2462400000.0,4000000.0,579900000.0,9200000.0,2270800000.0,10346800000.0,,587300000.0,3236700000.0,4027100000.0,952700000.0,4893900000.0,14454400000.0,-50900000.0,62900000.0,1451200000.0,292600000.0,,29917900000.0,14892000000.0,9304600000.0,26092100000.0,3825800000.0,-87800000.0,,,
0,IOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30 00:00:00,ANN,357400000.0,240200000.0,769000000.0,83100000.0,851400000.0,225700000.0,451700000.0,23000000.0,13400000.0,274200000.0,474100000.0,114700000.0,41300000.0,86800000.0,128500000.0,-84600000.0,356000000.0,866800000.0,,,2737700000.0,1166900000.0,549900000.0,1173100000.0,1551200000.0,-84600000.0,611200000.0,,
0,VGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
